,Actif_1,Actif_2,Actif_3,Actif_4,Actif_5
264,0,0,52,16,32
265,0,0,52,20,28
266,0,0,52,24,24
267,0,0,52,28,20
268,0,0,52,32,16
269,0,0,52,36,12
270,0,0,52,40,8
271,0,0,52,44,4
272,0,0,52,48,0
273,0,0,56,0,44
274,0,0,56,4,40
275,0,0,56,8,36
276,0,0,56,12,32
277,0,0,56,16,28
278,0,0,56,20,24
279,0,0,56,24,20
280,0,0,56,28,16
281,0,0,56,32,12
282,0,0,56,36,8
283,0,0,56,40,4
284,0,0,56,44,0
285,0,0,60,0,40
286,0,0,60,4,36
287,0,0,60,8,32
288,0,0,60,12,28
289,0,0,60,16,24
290,0,0,60,20,20
291,0,0,60,24,16
292,0,0,60,28,12
293,0,0,60,32,8
294,0,0,60,36,4
295,0,0,60,40,0
296,0,0,64,0,36
297,0,0,64,4,32
298,0,0,64,8,28
299,0,0,64,12,24
300,0,0,64,16,20
301,0,0,64,20,16
302,0,0,64,24,12
303,0,0,64,28,8
304,0,0,64,32,4
305,0,0,64,36,0
306,0,0,68,0,32
307,0,0,68,4,28
308,0,0,68,8,24
309,0,0,68,12,20
310,0,0,68,16,16
311,0,0,68,20,12
312,0,0,68,24,8
313,0,0,68,28,4
314,0,0,68,32,0
315,0,0,72,0,28
316,0,0,72,4,24
317,0,0,72,8,20
318,0,0,72,12,16
319,0,0,72,16,12
320,0,0,72,20,8
321,0,0,72,24,4
322,0,0,72,28,0
323,0,0,76,0,24
324,0,0,76,4,20
325,0,0,76,8,16
326,0,0,76,12,12
327,0,0,76,16,8
328,0,0,76,20,4
329,0,0,76,24,0
330,0,0,80,0,20
331,0,0,80,4,16
332,0,0,80,8,12
333,0,0,80,12,8
334,0,0,80,16,4
335,0,0,80,20,0
336,0,0,84,0,16
337,0,0,84,4,12
338,0,0,84,8,8
339,0,0,84,12,4
340,0,0,84,16,0
341,0,0,88,0,12
342,0,0,88,4,8
343,0,0,88,8,4
344,0,0,88,12,0
345,0,0,92,0,8
346,0,0,92,4,4
347,0,0,92,8,0
348,0,0,96,0,4
349,0,0,96,4,0
350,0,0,100,0,0
351,0,4,0,0,96
352,0,4,0,4,92
353,0,4,0,8,88
354,0,4,0,12,84
355,0,4,0,16,80
356,0,4,0,20,76
357,0,4,0,24,72
358,0,4,0,28,68
359,0,4,0,32,64
360,0,4,0,36,60
361,0,4,0,40,56
362,0,4,0,44,52
363,0,4,0,48,48
364,0,4,0,52,44
365,0,4,0,56,40
366,0,4,0,60,36
367,0,4,0,64,32
368,0,4,0,68,28
369,0,4,0,72,24
370,0,4,0,76,20
371,0,4,0,80,16
372,0,4,0,84,12
373,0,4,0,88,8
374,0,4,0,92,4
375,0,4,0,96,0
376,0,4,4,0,92
377,0,4,4,4,88
378,0,4,4,8,84
379,0,4,4,12,80
380,0,4,4,16,76
381,0,4,4,20,72
382,0,4,4,24,68
383,0,4,4,28,64
384,0,4,4,32,60
385,0,4,4,36,56
386,0,4,4,40,52
387,0,4,4,44,48
388,0,4,4,48,44
389,0,4,4,52,40
390,0,4,4,56,36
391,0,4,4,60,32
392,0,4,4,64,28
393,0,4,4,68,24
394,0,4,4,72,20
395,0,4,4,76,16
396,0,4,4,80,12
397,0,4,4,84,8
398,0,4,4,88,4
399,0,4,4,92,0
400,0,4,8,0,88
401,0,4,8,4,84
402,0,4,8,8,80
403,0,4,8,12,76
404,0,4,8,16,72
405,0,4,8,20,68
406,0,4,8,24,64
407,0,4,8,28,60
408,0,4,8,32,56
409,0,4,8,36,52
410,0,4,8,40,48
411,0,4,8,44,44
412,0,4,8,48,40
413,0,4,8,52,36
414,0,4,8,56,32
415,0,4,8,60,28
416,0,4,8,64,24
417,0,4,8,68,20
418,0,4,8,72,16
419,0,4,8,76,12
420,0,4,8,80,8
421,0,4,8,84,4
422,0,4,8,88,0
423,0,4,12,0,84
424,0,4,12,4,80
425,0,4,12,8,76
426,0,4,12,12,72
427,0,4,12,16,68
428,0,4,12,20,64
429,0,4,12,24,60
430,0,4,12,28,56
431,0,4,12,32,52
432,0,4,12,36,48
433,0,4,12,40,44
434,0,4,12,44,40
435,0,4,12,48,36
436,0,4,12,52,32
437,0,4,12,56,28
438,0,4,12,60,24
439,0,4,12,64,20
440,0,4,12,68,16
441,0,4,12,72,12
442,0,4,12,76,8
443,0,4,12,80,4
444,0,4,12,84,0
445,0,4,16,0,80
446,0,4,16,4,76
447,0,4,16,8,72
448,0,4,16,12,68
449,0,4,16,16,64
450,0,4,16,20,60
451,0,4,16,24,56
452,0,4,16,28,52
453,0,4,16,32,48
454,0,4,16,36,44
455,0,4,16,40,40
456,0,4,16,44,36
457,0,4,16,48,32
458,0,4,16,52,28
459,0,4,16,56,24
460,0,4,16,60,20
461,0,4,16,64,16
462,0,4,16,68,12
463,0,4,16,72,8
464,0,4,16,76,4
465,0,4,16,80,0
466,0,4,20,0,76
467,0,4,20,4,72
468,0,4,20,8,68
469,0,4,20,12,64
470,0,4,20,16,60
471,0,4,20,20,56
472,0,4,20,24,52
473,0,4,20,28,48
474,0,4,20,32,44
475,0,4,20,36,40
476,0,4,20,40,36
477,0,4,20,44,32
478,0,4,20,48,28
479,0,4,20,52,24
480,0,4,20,56,20
481,0,4,20,60,16
482,0,4,20,64,12
483,0,4,20,68,8
484,0,4,20,72,4
485,0,4,20,76,0
486,0,4,24,0,72
487,0,4,24,4,68
488,0,4,24,8,64
489,0,4,24,12,60
490,0,4,24,16,56
491,0,4,24,20,52
492,0,4,24,24,48
493,0,4,24,28,44
494,0,4,24,32,40
495,0,4,24,36,36
496,0,4,24,40,32
497,0,4,24,44,28
498,0,4,24,48,24
499,0,4,24,52,20
500,0,4,24,56,16
501,0,4,24,60,12
502,0,4,24,64,8
503,0,4,24,68,4
504,0,4,24,72,0
505,0,4,28,0,68
506,0,4,28,4,64
507,0,4,28,8,60
508,0,4,28,12,56
509,0,4,28,16,52
510,0,4,28,20,48
511,0,4,28,24,44
512,0,4,28,28,40
513,0,4,28,32,36
514,0,4,28,36,32
515,0,4,28,40,28
516,0,4,28,44,24
517,0,4,28,48,20
518,0,4,28,52,16
519,0,4,28,56,12
520,0,4,28,60,8
521,0,4,28,64,4
522,0,4,28,68,0
523,0,4,32,0,64
524,0,4,32,4,60
525,0,4,32,8,56
526,0,4,32,12,52
527,0,4,32,16,48
528,0,4,32,20,44
529,0,4,32,24,40
530,0,4,32,28,36
531,0,4,32,32,32
532,0,4,32,36,28
533,0,4,32,40,24
534,0,4,32,44,20
535,0,4,32,48,16
536,0,4,32,52,12
537,0,4,32,56,8
538,0,4,32,60,4
539,0,4,32,64,0
